code,rwork_torchref,rfree_torchref,rwork_phenix,rfree_phenix,rwork_refmac,rfree_refmac,d_min,delta_rwork_phenix,delta_rfree_phenix,delta_rwork_refmac,delta_rfree_refmac
1B9K,0.227200,0.281300,0.230100,0.269200,0.234300,0.276300,1.899949,-0.290000,1.210000,-0.710000,0.500000
3UTN,0.238400,0.271000,0.240700,0.263600,0.252300,0.285200,1.899974,-0.230000,0.740000,-1.390000,-1.420000
6EWJ,0.260800,0.308000,0.260900,0.305900,0.260300,0.307800,1.899985,-0.010000,0.210000,0.050000,0.020000
3B8I,0.259300,0.306300,0.267500,0.310300,0.260700,0.304400,1.900003,-0.820000,-0.400000,-0.140000,0.190000
1FKM,0.268400,0.308100,0.272400,0.310300,0.267400,0.309400,1.900003,-0.400000,-0.220000,0.100000,-0.130000
2JH3,0.258700,0.296300,0.256800,0.294200,0.256800,0.289900,1.900003,0.190000,0.210000,0.190000,0.640000
5XHW,0.258000,0.281700,0.263200,0.282700,0.262000,0.282000,1.900006,-0.520000,-0.100000,-0.400000,-0.030000
3VRJ,0.355700,0.403100,0.351700,0.405700,0.351900,0.400900,1.900007,0.400000,-0.260000,0.380000,0.220000
4AUP,0.261600,0.330200,0.268300,0.322400,0.264300,0.322100,1.900007,-0.670000,0.780000,-0.270000,0.810000
2P0U,0.219700,0.262500,0.223500,0.259700,0.222300,0.258500,1.900009,-0.380000,0.280000,-0.260000,0.400000
5O6B,0.422200,0.456600,0.418100,0.477000,0.441700,0.481800,1.900010,0.410000,-2.040000,-1.950000,-2.520000
4UDP,0.225500,0.274400,0.222900,0.270100,0.227700,0.267600,1.900018,0.260000,0.430000,-0.220000,0.680000
2QE9,0.324300,0.365000,0.330500,0.369900,0.317900,0.357500,1.900029,-0.620000,-0.490000,0.640000,0.750000
3E99,0.309500,0.320100,0.310300,0.332900,0.305300,0.317700,1.900033,-0.080000,-1.280000,0.420000,0.240000
2BON,0.266400,0.315800,0.276600,0.313200,0.273300,0.299200,1.900037,-1.020000,0.260000,-0.690000,1.660000
3QKL,0.264300,0.297000,0.289800,0.300800,0.307700,0.326500,1.900058,-2.550000,-0.380000,-4.340000,-2.950000
2RCC,0.291300,0.325300,0.293400,0.325200,0.298500,0.326900,1.900060,-0.210000,0.010000,-0.720000,-0.160000
4QH8,0.243600,0.288900,0.240200,0.274700,0.251200,0.291900,1.900114,0.340000,1.420000,-0.760000,-0.300000
1P4X,0.337200,0.361200,0.325800,0.360100,0.350300,0.357900,1.900143,1.140000,0.110000,-1.310000,0.330000
5MXY,0.348900,0.368700,0.342300,0.352200,0.356100,0.386000,1.900308,0.660000,1.650000,-0.720000,-1.730000
1UJK,0.288000,0.327800,0.299400,0.324300,0.299000,0.332300,1.900332,-1.140000,0.350000,-1.100000,-0.450000
3E7P,0.243700,0.292700,0.254000,0.293800,0.243400,0.288200,1.900468,-1.030000,-0.110000,0.030000,0.450000
4IDI,0.284400,0.317600,0.286500,0.312300,0.288700,0.318200,1.900478,-0.210000,0.530000,-0.430000,-0.060000
5GKV,0.225800,0.279500,0.232800,0.266800,0.232900,0.278200,1.900732,-0.700000,1.270000,-0.710000,0.130000
3TCO,0.233900,0.289100,0.242100,0.284200,0.241500,0.293800,1.900841,-0.820000,0.490000,-0.760000,-0.470000
6D2V,0.255300,0.295800,0.259000,0.294600,0.253300,0.275100,1.900905,-0.370000,0.120000,0.200000,2.070000
5Y9I,0.282800,0.324200,0.287800,0.326800,0.294100,0.330000,1.901023,-0.500000,-0.260000,-1.130000,-0.580000
1QZN,0.240800,0.290500,0.245900,0.283700,0.238600,0.282800,1.901173,-0.510000,0.680000,0.220000,0.770000
5X6S,0.218600,0.257300,0.220800,0.253700,0.220300,0.253800,1.901258,-0.220000,0.360000,-0.170000,0.350000
3KOL,0.308500,0.370900,0.313300,0.372600,0.309100,0.338600,1.901453,-0.480000,-0.170000,-0.060000,3.230000
4OF8,0.263700,0.302100,0.268100,0.299400,0.263000,0.300800,1.902004,-0.440000,0.270000,0.070000,0.130000
1HN0,0.238200,0.275100,0.244000,0.276500,0.237300,0.269800,1.904553,-0.580000,-0.140000,0.090000,0.530000
2GT1,0.284600,0.338900,0.294700,0.343300,0.277000,0.330500,1.905254,-1.010000,-0.440000,0.760000,0.840000
4F27,0.285200,0.332400,0.314900,0.337500,0.296400,0.336500,1.916559,-2.970000,-0.510000,-1.120000,-0.410000
3IHU,0.351000,0.412700,0.349900,0.399200,0.353200,0.412500,1.920022,0.110000,1.350000,-0.220000,0.020000
6IQJ,0.257200,0.334400,0.250000,0.328200,0.259400,0.340700,1.921816,0.720000,0.620000,-0.220000,-0.630000
3N9U,0.251100,0.283800,0.257800,0.285000,0.264900,0.294500,1.924023,-0.670000,-0.120000,-1.380000,-1.070000
5MLK,0.243400,0.279200,0.262800,0.290500,0.245200,0.271500,1.938580,-1.940000,-1.130000,-0.180000,0.770000
4AOM,0.270000,0.323500,0.259900,0.315800,0.274200,0.323900,1.938590,1.010000,0.770000,-0.420000,-0.040000
6PNP,0.277300,0.304900,0.300200,0.331600,0.278700,0.305700,1.940062,-2.290000,-2.670000,-0.140000,-0.080000
5BV6,0.415400,0.454900,0.394000,0.474400,0.445700,0.502600,1.941065,2.140000,-1.950000,-3.030000,-4.770000
3U9L,0.257500,0.305300,0.261100,0.301500,0.259100,0.293000,1.941693,-0.360000,0.380000,-0.160000,1.230000
1K7T,0.272400,0.313800,0.278400,0.335100,0.272100,0.315600,1.941838,-0.600000,-2.130000,0.030000,-0.180000
5OMB,0.405900,0.447400,0.398800,0.435200,0.396200,0.444300,1.944037,0.710000,1.220000,0.970000,0.310000
6GBS,0.373600,0.423200,0.375800,0.418600,0.366900,0.418200,1.945634,-0.220000,0.460000,0.670000,0.500000
4ICH,0.268000,0.322500,0.274500,0.340600,0.268000,0.327200,1.947004,-0.650000,-1.810000,0.000000,-0.470000
6A0E,0.238700,0.311100,0.243300,0.312900,0.235000,0.301400,1.947093,-0.460000,-0.180000,0.370000,0.970000
6LKG,0.243100,0.287900,0.246900,0.289900,0.240600,0.284000,1.947851,-0.380000,-0.200000,0.250000,0.390000
3H6R,0.234800,0.277700,0.238200,0.276800,0.236700,0.266000,1.947933,-0.340000,0.090000,-0.190000,1.170000
6PEU,0.314700,0.349700,0.284600,0.326500,0.285500,0.326500,1.948002,3.010000,2.320000,2.920000,2.320000
3W8W,0.269100,0.333100,0.275100,0.325600,0.269200,0.318000,1.949993,-0.600000,0.750000,-0.010000,1.510000
6GP7,0.291200,0.313700,0.303100,0.321200,0.309600,0.336300,1.950004,-1.190000,-0.750000,-1.840000,-2.260000
1SOT,0.314300,0.352700,0.319500,0.361800,0.310500,0.359100,1.950005,-0.520000,-0.910000,0.380000,-0.640000
3OEC,0.253100,0.293900,0.255500,0.293800,0.261900,0.297800,1.950032,-0.240000,0.010000,-0.880000,-0.390000
4AK1,0.411000,0.435900,0.409800,0.435300,0.442100,0.455200,1.950036,0.120000,0.060000,-3.110000,-1.930000
3WW1,0.222500,0.267200,0.221100,0.262500,0.220400,0.253900,1.950042,0.140000,0.470000,0.210000,1.330000
1WW9,0.266800,0.302900,0.276000,0.305000,0.265900,0.295400,1.950060,-0.920000,-0.210000,0.090000,0.750000
2IUC,0.229600,0.276700,0.225200,0.264400,0.231100,0.269200,1.950060,0.440000,1.230000,-0.150000,0.750000
4Q63,0.357100,0.415100,0.342000,0.424400,0.353200,0.419200,1.950143,1.510000,-0.930000,0.390000,-0.410000
3HTV,0.294700,0.363100,0.307600,0.362700,0.289900,0.335300,1.950279,-1.290000,0.040000,0.480000,2.780000
3MYU,0.248200,0.297300,0.252500,0.297300,0.251100,0.293300,1.950503,-0.430000,0.000000,-0.290000,0.400000
1FIO,0.378400,0.427000,0.390800,0.415600,0.383200,0.431900,1.951112,-1.240000,1.140000,-0.480000,-0.490000
2WDZ,0.232900,0.278000,0.234000,0.278700,0.241100,0.279700,1.951136,-0.110000,-0.070000,-0.820000,-0.170000
4HIA,0.287700,0.341600,0.281700,0.333800,0.277800,0.328800,1.952271,0.600000,0.780000,0.990000,1.280000
3GQU,0.352200,0.357600,0.344600,0.347600,0.333500,0.351200,1.957053,0.760000,1.000000,1.870000,0.640000
6FOK,0.254600,0.283400,0.266600,0.289400,0.249700,0.281000,1.970004,-1.200000,-0.600000,0.490000,0.240000
3N5L,0.275600,0.311200,0.277200,0.306500,0.274200,0.298300,1.970034,-0.160000,0.470000,0.140000,1.290000
6J17,0.295200,0.326000,0.286300,0.315700,0.276300,0.291800,1.975030,0.890000,1.030000,1.890000,3.420000
6VS7,0.488500,0.521000,0.441200,0.496200,0.502800,0.532200,1.979500,4.730000,2.480000,-1.430000,-1.120000
7AUI,0.286100,0.319700,0.296500,0.330100,0.276100,0.316100,1.980036,-1.040000,-1.040000,1.000000,0.360000
3GXQ,0.371300,0.400000,0.374800,0.381200,0.370900,0.393600,1.980040,-0.350000,1.880000,0.040000,0.640000
2F9I,0.236400,0.269300,0.242400,0.268300,0.232600,0.263600,1.981854,-0.600000,0.100000,0.380000,0.570000
1DQ8,0.214900,0.284100,0.205600,0.281100,0.208100,0.284000,1.982997,0.930000,0.300000,0.680000,0.010000
1APX,0.250300,0.300200,0.240200,0.291500,0.246600,0.295500,1.991004,1.010000,0.870000,0.370000,0.470000
2XN4,0.371300,0.384900,0.286300,0.328600,0.301600,0.341400,1.992976,8.500000,5.630000,6.970000,4.350000
5EGE,0.242400,0.280000,0.240700,0.278700,0.244100,0.278400,1.993747,0.170000,0.130000,-0.170000,0.160000
3KZP,0.339500,0.390900,0.343600,0.399400,0.359900,0.418300,1.996583,-0.410000,-0.850000,-2.040000,-2.740000
2AE0,0.451600,0.477700,0.461400,0.484600,0.422700,0.471700,1.996942,-0.980000,-0.690000,2.890000,0.600000
6J72,0.332000,0.378400,0.324100,0.380100,0.328900,0.383900,1.998964,0.790000,-0.170000,0.310000,-0.550000
1Z05,0.318800,0.348100,0.337100,0.365700,0.340900,0.367300,1.998994,-1.830000,-1.760000,-2.210000,-1.920000
2OO3,0.209300,0.252300,0.206100,0.241700,0.211900,0.248700,1.999022,0.320000,1.060000,-0.260000,0.360000
1ITK,0.246200,0.295000,0.250100,0.286400,0.246000,0.282600,1.999863,-0.390000,0.860000,0.020000,1.240000
3VSM,0.234600,0.277700,0.230800,0.274600,0.235400,0.279400,1.999962,0.380000,0.310000,-0.080000,-0.170000
1OE4,0.257200,0.295800,0.261100,0.293300,0.260700,0.294800,1.999997,-0.390000,0.250000,-0.350000,0.100000
3CGG,0.282200,0.334000,0.284700,0.323300,0.279600,0.331000,1.999997,-0.250000,1.070000,0.260000,0.300000
4KH9,0.267000,0.309500,0.265300,0.311500,0.260300,0.302500,2.000000,0.170000,-0.200000,0.670000,0.700000
4MAA,0.239600,0.278400,0.243500,0.276500,0.238100,0.275700,2.000001,-0.390000,0.190000,0.150000,0.270000
4ZV9,0.252800,0.287100,0.252700,0.281500,0.272300,0.301100,2.000003,0.010000,0.560000,-1.950000,-1.400000
6ZUW,0.357000,0.405000,0.372300,0.415500,0.369600,0.405400,2.000003,-1.530000,-1.050000,-1.260000,-0.040000
3QTA,0.334500,0.360700,0.338600,0.356800,0.338000,0.358600,2.000004,-0.410000,0.390000,-0.350000,0.210000
4FYU,0.266200,0.301500,0.259000,0.293000,0.266400,0.296500,2.000007,0.720000,0.850000,-0.020000,0.500000
5WB4,0.293600,0.335900,0.289600,0.341100,0.290300,0.334900,2.000012,0.400000,-0.520000,0.330000,0.100000
6CGO,0.363100,0.404600,0.353700,0.399500,0.377900,0.411500,2.000017,0.940000,0.510000,-1.480000,-0.690000
7CWW,0.282600,0.328200,0.303600,0.346700,0.299400,0.353100,2.000030,-2.100000,-1.850000,-1.680000,-2.490000
4FE9,0.247000,0.279700,0.249300,0.274500,0.250700,0.273500,2.000030,-0.230000,0.520000,-0.370000,0.620000
3ZIE,0.255300,0.309400,0.256500,0.300800,0.259500,0.310700,2.000031,-0.120000,0.860000,-0.420000,-0.130000
2DOB,0.558700,0.590900,0.473700,0.496600,0.471800,0.559000,2.000038,8.500000,9.430000,8.690000,3.190000
2CKL,0.312600,0.350400,0.304500,0.328200,0.309900,0.322400,2.000038,0.810000,2.220000,0.270000,2.800000
3GM5,0.306300,0.389400,0.301500,0.361200,0.300600,0.375300,2.000038,0.480000,2.820000,0.570000,1.410000
3ML3,0.270300,0.307900,0.288900,0.310400,0.276400,0.316300,2.000050,-1.860000,-0.250000,-0.610000,-0.840000
2YEU,0.355300,0.389300,0.353100,0.387600,0.350200,0.385400,2.000063,0.220000,0.170000,0.510000,0.390000
3RAZ,0.272700,0.334800,0.277400,0.331800,0.298600,0.329800,2.000070,-0.470000,0.300000,-2.590000,0.500000
3FKK,0.230600,0.256800,0.232000,0.250900,0.234000,0.253900,2.000075,-0.140000,0.590000,-0.340000,0.290000
1ZEJ,0.285800,0.316200,0.293700,0.320300,0.284800,0.314700,2.000079,-0.790000,-0.410000,0.100000,0.150000
5MLZ,0.300500,0.329100,0.317200,0.350600,0.312400,0.346300,2.000085,-1.670000,-2.150000,-1.190000,-1.720000
1BM7,0.206700,0.252200,0.213600,0.250600,0.205500,0.246800,2.000117,-0.690000,0.160000,0.120000,0.540000
1TE5,0.314900,0.354200,0.312800,0.349700,0.304900,0.343300,2.000175,0.210000,0.450000,1.000000,1.090000
2GA1,0.489700,0.508500,0.459900,0.479200,0.463500,0.468000,2.000214,2.980000,2.930000,2.620000,4.050000
3CU3,0.414600,0.423500,0.344100,0.392100,0.349600,0.380400,2.000309,7.050000,3.140000,6.500000,4.310000
1CSM,0.215300,0.249500,0.211600,0.250900,0.209500,0.246600,2.001227,0.370000,-0.140000,0.580000,0.290000
2P8J,0.278800,0.316700,0.282100,0.315300,0.277600,0.309600,2.001420,-0.330000,0.140000,0.120000,0.710000
2CZV,0.253100,0.292200,0.254000,0.293500,0.251100,0.289700,2.001442,-0.090000,-0.130000,0.200000,0.250000
6V7M,0.410700,0.454500,0.392400,0.441700,0.404100,0.446000,2.001712,1.830000,1.280000,0.660000,0.850000
1RFX,0.336800,0.384500,0.355400,0.397700,0.323300,0.374700,2.002449,-1.860000,-1.320000,1.350000,0.980000
5J4A,0.256700,0.312900,0.257500,0.300400,0.256500,0.308300,2.004131,-0.080000,1.250000,0.020000,0.460000
5Z8L,0.287400,0.360400,0.378100,0.449500,0.289500,0.346400,2.005004,-9.070000,-8.910000,-0.210000,1.400000
3BJ6,0.332800,0.363100,0.325700,0.366400,0.329300,0.371200,2.005860,0.710000,-0.330000,0.350000,-0.810000
1XVS,0.290800,0.319500,0.285600,0.320200,0.289500,0.311100,2.009778,0.520000,-0.070000,0.130000,0.840000
5C8H,0.307500,0.342900,0.316200,0.365600,0.307600,0.354700,2.011852,-0.870000,-2.270000,-0.010000,-1.180000
1J3P,0.241300,0.274900,0.243400,0.274600,0.241100,0.278000,2.020038,-0.210000,0.030000,0.020000,-0.310000
1A0F,0.215400,0.251100,0.221200,0.249500,0.217400,0.242600,2.024354,-0.580000,0.160000,-0.200000,0.850000
4UDA,0.257900,0.288400,0.272300,0.315700,0.284400,0.300600,2.030116,-1.440000,-2.730000,-2.650000,-1.220000
1IDQ,0.196700,0.223900,0.202300,0.226300,0.199200,0.221500,2.034380,-0.560000,-0.240000,-0.250000,0.240000
2JAC,0.242100,0.284300,0.247600,0.292900,0.244400,0.291000,2.035985,-0.550000,-0.860000,-0.230000,-0.670000
3DXI,0.292300,0.350000,0.286600,0.341600,0.293100,0.338800,2.041435,0.570000,0.840000,-0.080000,1.120000
7C7E,0.408800,0.456500,0.401500,0.462000,0.401500,0.483600,2.046512,0.730000,-0.550000,0.730000,-2.710000
3CB5,0.266000,0.303600,0.262700,0.300100,0.267700,0.304700,2.048835,0.330000,0.350000,-0.170000,-0.110000
5TV7,0.254700,0.293700,0.259800,0.297200,0.247000,0.277100,2.050017,-0.510000,-0.350000,0.770000,1.660000
4MG5,0.258700,0.291300,0.285600,0.321300,0.262300,0.293300,2.050030,-2.690000,-3.000000,-0.360000,-0.200000
4BVE,0.279500,0.318200,0.283000,0.316100,0.280800,0.305700,2.050067,-0.350000,0.210000,-0.130000,1.250000
3LLI,0.309500,0.311100,0.313500,0.331900,0.305400,0.329600,2.050071,-0.400000,-2.080000,0.410000,-1.850000
1DAW,0.255400,0.308200,0.254200,0.294800,0.257400,0.304000,2.050077,0.120000,1.340000,-0.200000,0.420000
4C6R,0.281600,0.325700,0.282900,0.321900,0.286900,0.329800,2.050088,-0.130000,0.380000,-0.530000,-0.410000
3VUQ,0.300300,0.332700,0.290600,0.326900,0.324800,0.355600,2.050280,0.970000,0.580000,-2.450000,-2.290000
3GR5,0.288300,0.323600,0.291600,0.321900,0.286400,0.325400,2.050552,-0.330000,0.170000,0.190000,-0.180000
2QL3,0.265300,0.303000,0.266100,0.303300,0.266300,0.304200,2.052287,-0.080000,-0.030000,-0.100000,-0.120000
3BNK,0.238300,0.293200,0.239900,0.292700,0.238600,0.285500,2.054219,-0.160000,0.050000,-0.030000,0.770000
3OOQ,0.254000,0.298100,0.252400,0.297100,0.249700,0.298500,2.059855,0.160000,0.100000,0.430000,-0.040000
1C3F,0.247900,0.315400,0.253000,0.317500,0.251100,0.312200,2.068051,-0.510000,-0.210000,-0.320000,0.320000
3VD8,0.523700,0.574100,0.517500,0.595800,0.516300,0.596500,2.068452,0.620000,-2.170000,0.740000,-2.240000
2Z1D,0.237400,0.278100,0.239300,0.277900,0.237800,0.275900,2.070496,-0.190000,0.020000,-0.040000,0.220000
6TWJ,0.252500,0.283900,0.250300,0.280100,0.248900,0.275900,2.072443,0.220000,0.380000,0.360000,0.800000
3AMH,0.194600,0.246900,0.197700,0.241400,0.194300,0.244100,2.082708,-0.310000,0.550000,0.030000,0.280000
3VHL,0.321500,0.384500,0.306000,0.370700,0.326400,0.393800,2.084851,1.550000,1.380000,-0.490000,-0.930000
6EYS,0.238600,0.285200,0.229100,0.277900,0.239900,0.287200,2.090855,0.950000,0.730000,-0.130000,-0.200000
2XDO,0.246600,0.291500,0.242500,0.289900,0.257500,0.304800,2.091002,0.410000,0.160000,-1.090000,-1.330000
1DQ3,0.327900,0.376600,0.325400,0.372300,0.322800,0.380800,2.091197,0.250000,0.430000,0.510000,-0.420000
1VR4,0.288700,0.345300,0.282000,0.344700,0.281200,0.329200,2.094001,0.670000,0.060000,0.750000,1.610000
3G3O,0.257400,0.306000,0.255800,0.292200,0.248700,0.276400,2.097846,0.160000,1.380000,0.870000,2.960000
5V8W,0.320700,0.362100,0.314900,0.366800,0.328100,0.389900,2.097882,0.580000,-0.470000,-0.740000,-2.780000
4N5X,0.352400,0.424000,0.337000,0.417400,0.340200,0.424400,2.098813,1.540000,0.660000,1.220000,-0.040000
3C7J,0.521400,0.558700,0.498900,0.574500,0.491800,0.559800,2.099008,2.250000,-1.580000,2.960000,-0.110000
3WTQ,0.279000,0.308300,0.296100,0.320200,0.282000,0.313500,2.099768,-1.710000,-1.190000,-0.300000,-0.520000
2B2N,0.293700,0.322800,0.300800,0.321800,0.290400,0.321400,2.099889,-0.710000,0.100000,0.330000,0.140000
1VK0,0.257100,0.302700,0.253900,0.295100,0.259000,0.304400,2.099998,0.320000,0.760000,-0.190000,-0.170000
4MG6,0.248900,0.317000,0.272700,0.333700,0.271600,0.332500,2.100001,-2.380000,-1.670000,-2.270000,-1.550000
3DEE,0.351500,0.439200,0.333100,0.437900,0.342800,0.433300,2.100003,1.840000,0.130000,0.870000,0.590000
1VCE,0.257100,0.302400,0.257100,0.297400,0.251900,0.293900,2.100006,0.000000,0.500000,0.520000,0.850000
3KKD,0.343100,0.402600,0.335600,0.401700,0.344000,0.406100,2.100022,0.750000,0.090000,-0.090000,-0.350000
4C1S,0.245200,0.287200,0.243400,0.279700,0.246100,0.283500,2.100033,0.180000,0.750000,-0.090000,0.370000
5JI5,0.240100,0.305200,0.233000,0.302800,0.241000,0.302400,2.100034,0.710000,0.240000,-0.090000,0.280000
2WP1,0.450500,0.457200,0.461900,0.486600,0.453000,0.457000,2.100049,-1.140000,-2.940000,-0.250000,0.020000
4BU1,0.348700,0.426300,0.363500,0.444600,0.393200,0.458500,2.100054,-1.480000,-1.830000,-4.450000,-3.220000
2R5F,0.275200,0.325700,0.282000,0.308900,0.278700,0.311800,2.100055,-0.680000,1.680000,-0.350000,1.390000
2QSV,0.282900,0.339200,0.289500,0.345400,0.279200,0.342500,2.100075,-0.660000,-0.620000,0.370000,-0.330000
3E8S,0.269400,0.297200,0.280700,0.296500,0.267000,0.288200,2.100117,-1.130000,0.070000,0.240000,0.900000
3ZH9,0.252400,0.280700,0.257800,0.280800,0.256700,0.283000,2.100129,-0.540000,-0.010000,-0.430000,-0.230000
3QVJ,0.266600,0.311200,0.265700,0.300500,0.265900,0.307500,2.100161,0.090000,1.070000,0.070000,0.370000
6DDT,0.246000,0.297400,0.240100,0.301400,0.245700,0.296800,2.100335,0.590000,-0.400000,0.030000,0.060000
4NPJ,0.330300,0.350100,0.319300,0.342000,0.333400,0.362800,2.100528,1.100000,0.810000,-0.310000,-1.270000
3DIW,0.380200,0.417400,0.443200,0.490900,0.343700,0.372100,2.100704,-6.300000,-7.350000,3.650000,4.530000
1GYJ,0.260500,0.317100,0.249100,0.293200,0.264100,0.309300,2.101841,1.140000,2.390000,-0.360000,0.780000
3JST,0.246700,0.286400,0.251100,0.288400,0.259400,0.283100,2.101960,-0.440000,-0.200000,-1.270000,0.330000
3L6F,0.304000,0.332000,0.308100,0.333300,0.311700,0.339300,2.102096,-0.410000,-0.130000,-0.770000,-0.730000
2NN4,0.250600,0.308600,0.256200,0.328200,0.255100,0.307000,2.102617,-0.560000,-1.960000,-0.450000,0.160000
5E15,0.269700,0.324300,0.281000,0.335900,0.265800,0.336100,2.102812,-1.130000,-1.160000,0.390000,-1.180000
1JAD,0.371900,0.400100,0.337300,0.363300,0.363700,0.386000,2.103641,3.460000,3.680000,0.820000,1.410000
1TVL,0.245500,0.280200,0.252800,0.292300,0.236600,0.275600,2.103770,-0.730000,-1.210000,0.890000,0.460000
5TDY,0.442400,0.497400,0.438600,0.533200,0.439600,0.482900,2.104842,0.380000,-3.580000,0.280000,1.450000
6U2D,0.294000,0.331700,0.293500,0.306200,0.310500,0.327800,2.109546,0.050000,2.550000,-1.650000,0.390000
4D51,0.268400,0.313000,0.279500,0.317500,0.285300,0.312400,2.110018,-1.110000,-0.450000,-1.690000,0.060000
4TWL,0.244400,0.302100,0.241500,0.304000,0.238400,0.300100,2.111227,0.290000,-0.190000,0.600000,0.200000
3X0X,0.220900,0.274500,0.220000,0.271400,0.216700,0.266200,2.114062,0.090000,0.310000,0.420000,0.830000
1A46,0.317200,0.336500,0.307500,0.342800,0.319300,0.345600,2.128069,0.970000,-0.630000,-0.210000,-0.910000
2PQN,0.329700,0.343700,0.384700,0.402000,0.332700,0.349300,2.147261,-5.500000,-5.830000,-0.300000,-0.560000
3TVA,0.256700,0.275200,0.262800,0.275800,0.254000,0.272800,2.148162,-0.610000,-0.060000,0.270000,0.240000
1I3A,0.267200,0.337100,0.255300,0.329900,0.256600,0.322900,2.149450,1.190000,0.720000,1.060000,1.420000
1OSC,0.212200,0.259100,0.218000,0.260400,0.206900,0.259900,2.150035,-0.580000,-0.130000,0.530000,-0.080000
1ANU,0.195800,0.272500,0.196300,0.263500,0.194500,0.234600,2.150230,-0.050000,0.900000,0.130000,3.790000
6EC7,0.307200,0.347900,0.304000,0.349800,0.348700,0.386500,2.151002,0.320000,-0.190000,-4.150000,-3.860000
2AHR,0.291400,0.343100,0.292100,0.340800,0.304100,0.357700,2.152000,-0.070000,0.230000,-1.270000,-1.460000
6DF3,0.249700,0.312600,0.254500,0.305400,0.246900,0.302900,2.153811,-0.480000,0.720000,0.280000,0.970000
4CGB,0.524900,0.572300,0.532600,0.550000,0.530700,0.532200,2.154159,-0.770000,2.230000,-0.580000,4.010000
5GZI,0.254400,0.310100,0.250500,0.305000,0.253500,0.301400,2.170005,0.390000,0.510000,0.090000,0.870000
2QYA,0.305900,0.361800,0.293100,0.356800,0.288200,0.357200,2.170056,1.280000,0.500000,1.770000,0.460000
2QCO,0.295000,0.311900,0.278600,0.311300,0.303800,0.333200,2.173924,1.640000,0.060000,-0.880000,-2.130000
2C8X,0.387700,0.423700,0.359500,0.401200,0.386300,0.430700,2.174127,2.820000,2.250000,0.140000,-0.700000
4WAL,0.345400,0.385300,0.355300,0.387500,0.353900,0.388700,2.178206,-0.990000,-0.220000,-0.850000,-0.340000
6RR0,0.416600,0.442500,0.386300,0.438400,0.461500,0.479900,2.180004,3.030000,0.410000,-4.490000,-3.740000
7F9K,0.378500,0.428800,0.354400,0.426500,0.429000,0.475100,2.180016,2.410000,0.230000,-5.050000,-4.630000
3I38,0.323100,0.365800,0.321600,0.370700,0.316300,0.360600,2.193238,0.150000,-0.490000,0.680000,0.520000
3CMQ,0.225800,0.262500,0.222000,0.264100,0.215200,0.254800,2.195898,0.380000,-0.160000,1.060000,0.770000
4WWM,0.265200,0.312800,0.267600,0.318200,0.274700,0.317500,2.196848,-0.240000,-0.540000,-0.950000,-0.470000
6ZH1,0.343600,0.400300,0.330700,0.397400,0.326900,0.401100,2.199020,1.290000,0.290000,1.670000,-0.080000
1WV8,0.332300,0.432300,0.326200,0.438200,0.400600,0.477600,2.199249,0.610000,-0.590000,-6.830000,-4.530000
5N8R,0.334800,0.376600,0.329500,0.380200,0.357400,0.406000,2.199505,0.530000,-0.360000,-2.260000,-2.940000
1WTY,0.275500,0.319000,0.266000,0.316500,0.265200,0.318900,2.199907,0.950000,0.250000,1.030000,0.010000
6EUS,0.260700,0.301900,0.258000,0.300100,0.256500,0.302100,2.200002,0.270000,0.180000,0.420000,-0.020000
3KKE,0.240800,0.294100,0.239700,0.293100,0.236500,0.283700,2.200003,0.110000,0.100000,0.430000,1.040000
4X3E,0.243800,0.291500,0.229300,0.285600,0.244200,0.282600,2.200005,1.450000,0.590000,-0.040000,0.890000
2NTX,0.345500,0.385200,0.343500,0.384500,0.337800,0.377000,2.200005,0.200000,0.070000,0.770000,0.820000
6D97,0.203500,0.255200,0.200100,0.246300,0.196000,0.243200,2.200009,0.340000,0.890000,0.750000,1.200000
1EJH,0.260400,0.294800,0.258500,0.300500,0.258900,0.298400,2.200010,0.190000,-0.570000,0.150000,-0.360000
1VB3,0.240400,0.268100,0.235800,0.257800,0.242800,0.259700,2.200018,0.460000,1.030000,-0.240000,0.840000
1YK3,0.257600,0.306200,0.254600,0.304200,0.247700,0.302200,2.200020,0.300000,0.200000,0.990000,0.400000
1VLM,0.274800,0.330900,0.265100,0.338500,0.267100,0.328000,2.200026,0.970000,-0.760000,0.770000,0.290000
4G3H,0.334100,0.385100,0.333100,0.390500,0.324100,0.385300,2.200029,0.100000,-0.540000,1.000000,-0.020000
3W3W,0.255300,0.290700,0.248700,0.278900,0.274100,0.309800,2.200033,0.660000,1.180000,-1.880000,-1.910000
2IJE,0.261800,0.307500,0.260800,0.299400,0.257500,0.294300,2.200036,0.100000,0.810000,0.430000,1.320000
4JGX,0.256900,0.297500,0.253200,0.288900,0.241900,0.280800,2.200037,0.370000,0.860000,1.500000,1.670000
3NO8,0.257200,0.320100,0.259900,0.311800,0.255400,0.313400,2.200039,-0.270000,0.830000,0.180000,0.670000
2A25,0.280400,0.339400,0.306500,0.368300,0.285600,0.325800,2.200046,-2.610000,-2.890000,-0.520000,1.360000
5Q1H,0.347800,0.402300,0.347000,0.417100,0.360600,0.429400,2.200047,0.080000,-1.480000,-1.280000,-2.710000
2F8L,0.247500,0.266200,0.248100,0.266100,0.242100,0.264900,2.200051,-0.060000,0.010000,0.540000,0.130000
