code,n_protein_chains,n_uniprot,seq_source,status
6V5J,2,0,local,no_uniprot
6V7M,2,1,local,ok
6VD8,2,1,local,ok
6VHI,1,1,local,ok
6VHT,1,1,local,ok
6VPT,1,1,local,ok
6VS7,2,1,local,ok
6W9K,2,2,mixed,ok
6WI4,5,0,mixed,no_uniprot
6WT6,1,1,local,ok
6XZ6,4,2,local,ok
6Y8K,2,1,rcsb,ok
6YFV,4,2,local,ok
6Z1S,1,1,local,ok
6Z3U,6,3,local,ok
6ZH1,2,2,local,ok
6ZUW,3,2,mixed,ok
7AUI,1,1,local,ok
7B7N,3,3,local,ok
7BN2,4,1,rcsb,ok
7BV5,4,2,local,ok
7BW1,1,1,local,ok
7C7E,1,1,local,ok
7CFD,16,2,mixed,ok
7CG9,1,1,local,ok
7CQL,3,1,local,ok
7CWW,1,1,local,ok
7D86,1,1,local,ok
7DQG,1,1,local,ok
7DUF,2,1,local,ok
7DVN,1,1,local,ok
7E2E,4,2,mixed,ok
7EWF,3,3,local,ok
7F7G,4,1,mixed,ok
7F9K,1,1,local,ok
7F9M,4,2,local,ok
7FHR,1,1,local,ok
7JI4,1,1,local,ok
7JN9,2,2,mixed,ok
7K2C,3,2,mixed,ok
7K3J,10,2,mixed,ok
7KQ0,6,2,mixed,ok
7LF4,6,3,mixed,ok
