code,engine,r_work,r_free
2F9Z,refmac,0.2573,0.324
2F9Z,phenix,0.2589,0.3378
2F9Z,torchref,0.2398,0.3302
2FEX,prediction,0.409,0.4174
2FEX,refmac,0.2967,0.3327
2FEX,phenix,0.3034,0.3393
2FEX,torchref,0.2939,0.3401
2FFF,prediction,0.3358,0.3455
2FFF,refmac,0.2313,0.296
2FFF,phenix,0.2414,0.3024
2FFF,torchref,0.2289,0.3049
2FH9,prediction,0.4922,0.4785
2FH9,refmac,0.351,0.3961
2FH9,phenix,0.3553,0.3951
2FH9,torchref,0.3395,0.3827
2FTX,prediction,0.4204,0.4482
2FTX,refmac,0.2946,0.3918
2FTX,phenix,0.3059,0.3816
2FTX,torchref,0.2712,0.3635
2G9W,prediction,0.5003,0.4708
2G9W,refmac,0.3961,0.4137
2G9W,phenix,0.4115,0.4397
2G9W,torchref,0.3848,0.428
2GA1,prediction,0.5198,0.4827
2GA1,refmac,0.4664,0.4911
2GA1,phenix,0.4689,0.5076
2GA1,torchref,0.4558,0.507
2GA9,prediction,0.4001,0.4299
2GA9,refmac,0.2506,0.3261
2GA9,phenix,0.2486,0.3203
2GA9,torchref,0.243,0.3257
2GD9,prediction,0.4798,0.4819
2GD9,refmac,0.3493,0.3728
2GD9,phenix,0.3217,0.3559
2GD9,torchref,0.3161,0.3622
2GT1,prediction,0.4688,0.4819
2GT1,refmac,0.2834,0.3357
2GT1,phenix,0.3029,0.3443
2GT1,torchref,0.2703,0.322
2GUH,prediction,0.4252,0.4212
2GUH,refmac,0.3463,0.3652
2GUH,phenix,0.3484,0.3635
2GUH,torchref,0.3396,0.3661
2HXW,prediction,0.4101,0.4017
2HXW,refmac,0.2808,0.3005
2HXW,phenix,0.289,0.3046
2HXW,torchref,0.2694,0.2944
2I53,prediction,0.3805,0.3689
2I53,refmac,0.2348,0.2547
2I53,phenix,0.2428,0.2572
2I53,torchref,0.2213,0.2508
2I7H,prediction,0.3982,0.4046
2I7H,refmac,0.2577,0.2938
2I7H,phenix,0.269,0.3047
2I7H,torchref,0.2536,0.2972
2I88,prediction,0.3039,0.285
2I88,refmac,0.1549,0.196
2I88,torchref,0.157,0.201
2IJE,prediction,0.4054,0.4007
2IJE,refmac,0.2607,0.2963
2IJE,phenix,0.2704,0.3113
2IJE,torchref,0.2575,0.3069
2IO7,prediction,0.3073,0.3141
2IO7,refmac,0.2139,0.2882
2IO7,phenix,0.2177,0.2906
2IO7,torchref,0.2185,0.2855
2IUC,prediction,0.3621,0.3591
2IUC,refmac,0.2413,0.2787
2IUC,phenix,0.2393,0.2747
2IUC,torchref,0.2286,0.2872
2IVF,prediction,0.4559,0.4557
2IVF,refmac,0.3101,0.3412
2IVF,phenix,0.2975,0.327
2IVF,torchref,0.2779,0.3194
2IVM,prediction,0.4466,0.3997
2IVM,refmac,0.3371,0.3399
2IVM,phenix,0.3031,0.3059
2IVM,torchref,0.2938,0.2986
2JAC,prediction,0.3808,0.3971
2JAC,refmac,0.2479,0.3047
2JAC,phenix,0.2523,0.3052
2JAC,torchref,0.2363,0.3176
2JBV,prediction,0.3924,0.3878
2JBV,refmac,0.2475,0.2815
2JBV,torchref,0.2408,0.291
2JFN,prediction,0.4031,0.3866
2JFN,refmac,0.2556,0.2686
2JFN,phenix,0.264,0.2688
2JFN,torchref,0.2492,0.2764
2JH3,prediction,0.3825,0.3844
2JH3,refmac,0.2601,0.2955
2JH3,phenix,0.2625,0.3001
2JH3,torchref,0.2557,0.3023
2NLY,prediction,0.3202,0.3157
2NLY,refmac,0.2157,0.2529
2NLY,phenix,0.2232,0.2527
2NLY,torchref,0.2196,0.2597
2NN4,prediction,0.4161,0.3887
2NN4,refmac,0.258,0.305
2NN4,phenix,0.2647,0.3195
2NN4,torchref,0.2418,0.3057
2NTX,prediction,0.4901,0.4777
2NTX,refmac,0.3426,0.3828
2NTX,phenix,0.3524,0.3929
2NTX,torchref,0.3372,0.3812
2NVN,prediction,0.4226,0.4345
2NVN,refmac,0.2749,0.3062
2NVN,phenix,0.3065,0.338
2NVN,torchref,0.2783,0.3332
2OD8,prediction,0.4024,0.4154
2OD8,refmac,0.2751,0.3672
2OD8,phenix,0.3163,0.3767
2OD8,torchref,0.2528,0.355
2OO2,prediction,0.3642,0.3492
2OO2,refmac,0.2334,0.3075
2OO2,phenix,0.2499,0.2765
2OO2,torchref,0.226,0.3146
2OO3,prediction,0.3228,0.3287
2OO3,refmac,0.2154,0.2543
2OO3,phenix,0.2109,0.2466
2OO3,torchref,0.2017,0.2504
2P0U,prediction,0.3126,0.3247
2P0U,refmac,0.2268,0.2678
2P0U,phenix,0.2297,0.2718
2P0U,torchref,0.22,0.2752
2P1L,prediction,0.3834,0.3935
2P1L,refmac,0.2734,0.3177
2P1L,phenix,0.2922,0.3455
2P1L,torchref,0.2748,0.3365
2P38,prediction,0.4647,0.448
2P38,refmac,0.3084,0.3446
2P38,phenix,0.3202,0.3473
2P38,torchref,0.2881,0.3416
2P62,prediction,0.44,0.4535
2P62,refmac,0.2538,0.2804
2P62,phenix,0.2663,0.2952
2P62,torchref,0.2418,0.2833
2P8J,prediction,0.4041,0.3984
2P8J,refmac,0.2803,0.3123
2P8J,phenix,0.2872,0.3211
2P8J,torchref,0.2744,0.3153
2P8Q,prediction,0.4926,0.4842
2P8Q,refmac,0.3317,0.3865
2P8Q,phenix,0.3126,0.3622
2P8Q,torchref,0.2937,0.3481
2PAV,prediction,0.4698,0.4622
2PAV,refmac,0.282,0.3181
2PAV,phenix,0.28,0.3092
2PAV,torchref,0.2623,0.3049
2PJS,prediction,0.4198,0.3972
2PJS,refmac,0.2628,0.3073
2PJS,phenix,0.2714,0.319
2PJS,torchref,0.2577,0.3186
2PK9,prediction,0.4039,0.403
2PK9,refmac,0.2968,0.362
2PK9,phenix,0.31,0.3736
2PK9,torchref,0.3042,0.3676
2PN0,prediction,0.4889,0.4886
2PN0,refmac,0.3655,0.4049
2PN0,phenix,0.3737,0.4154
2PN0,torchref,0.3501,0.4025
2PQN,prediction,0.4667,0.417
2PQN,refmac,0.3362,0.362
2PQN,phenix,0.3939,0.4323
2PQN,torchref,0.3211,0.3436
2PQV,prediction,0.4398,0.4293
2PQV,refmac,0.2796,0.3002
2PQV,phenix,0.2831,0.3104
2PQV,torchref,0.2611,0.303
2PY2,prediction,0.4185,0.4255
2PY2,refmac,0.2692,0.3033
2PY2,phenix,0.2677,0.3013
2PY2,torchref,0.2589,0.3002
2Q1Z,prediction,0.4699,0.4427
2Q1Z,refmac,0.3887,0.4333
2Q1Z,phenix,0.4276,0.4811
2Q1Z,torchref,0.4178,0.487
2QCO,prediction,0.4741,0.4007
2QCO,refmac,0.3046,0.3462
2QCO,phenix,0.2876,0.3316
2QCO,torchref,0.27,0.3211
2QE9,prediction,0.4405,0.4363
2QE9,refmac,0.3185,0.3593
2QE9,phenix,0.3308,0.3682
2QE9,torchref,0.3108,0.3677
2QH9,prediction,0.4218,0.4091
2QH9,refmac,0.2821,0.3346
2QH9,phenix,0.2909,0.3314
2QH9,torchref,0.2689,0.3411
2QHL,prediction,0.4499,0.4415
2QHL,refmac,0.283,0.3028
2QHL,phenix,0.2754,0.2828
2QHL,torchref,0.2614,0.2855
2QKL,prediction,0.4486,0.525
2QKL,refmac,0.3512,0.4527
2QKL,phenix,0.3276,0.4346
2QKL,torchref,0.3018,0.4298
2QL3,prediction,0.4124,0.3996
2QL3,refmac,0.2702,0.3056
2QL3,phenix,0.273,0.3052
2QL3,torchref,0.2612,0.3092
2QM7,prediction,0.4363,0.4154
2QM7,refmac,0.2969,0.3306
2QM7,phenix,0.299,0.3361
2QM7,torchref,0.2751,0.3173
2QML,prediction,0.4248,0.428
2QML,refmac,0.3191,0.355
2QML,phenix,0.3262,0.3656
2QML,torchref,0.3128,0.3755
2QOS,prediction,0.4449,0.4519
2QOS,refmac,0.3099,0.3789
2QOS,phenix,0.3085,0.3688
2QOS,torchref,0.2821,0.3411
2QSV,prediction,0.3849,0.3954
2QSV,refmac,0.2823,0.337
2QSV,phenix,0.2952,0.3447
2QSV,torchref,0.2791,0.3507
2QYA,prediction,0.4079,0.4315
2QYA,refmac,0.2986,0.3646
2QYA,phenix,0.3053,0.3711
2QYA,torchref,0.2907,0.3693
2R5F,prediction,0.4061,0.3829
2R5F,refmac,0.2818,0.314
2R5F,phenix,0.2904,0.306
2R5F,torchref,0.2672,0.3066
2R6R,prediction,0.3967,0.3932
2R6R,refmac,0.2663,0.2934
2R6R,phenix,0.2663,0.2988
2R6R,torchref,0.2505,0.2965
2RCC,prediction,0.4349,0.4496
2RCC,refmac,0.3016,0.3383
2RCC,phenix,0.2988,0.3346
2RCC,torchref,0.285,0.332
2RH3,prediction,0.3527,0.3361
2RH3,refmac,0.2397,0.2596
2RH3,phenix,0.2389,0.2505
2RH3,torchref,0.2263,0.2596
2UZ8,prediction,0.4133,0.3999
2UZ8,refmac,0.2794,0.3287
2UZ8,torchref,0.2639,0.3232
2V62,prediction,0.3879,0.3952
2V62,refmac,0.256,0.2825
2V62,phenix,0.2633,0.284
2V62,torchref,0.248,0.2843
2VEF,prediction,0.444,0.4524
2VEF,refmac,0.2821,0.3254
2VEF,phenix,0.2863,0.3248
2VEF,torchref,0.2714,0.3272
2VUN,prediction,0.3586,0.3443
2VUN,refmac,0.2332,0.2564
2VUN,phenix,0.2377,0.2569
2VUN,torchref,0.2267,0.2581
2VZB,prediction,0.371,0.3635
2VZB,refmac,0.2228,0.2866
2VZB,phenix,0.2285,0.2817
2VZB,torchref,0.2195,0.2934
2W3X,prediction,0.4257,0.4436
2W3X,refmac,0.2426,0.2798
2W3X,phenix,0.2556,0.2851
2W3X,torchref,0.2332,0.2762
2W9Y,prediction,0.4472,0.4278
2W9Y,refmac,0.2863,0.3038
2W9Y,phenix,0.2841,0.3096
2W9Y,torchref,0.2662,0.3025
2WDZ,prediction,0.3904,0.3975
2WDZ,refmac,0.2555,0.2964
2WDZ,phenix,0.2537,0.2952
2WDZ,torchref,0.2409,0.294
2WNH,prediction,0.3488,0.3466
2WNH,refmac,0.2453,0.2648
2WNH,phenix,0.2493,0.2665
2WNH,torchref,0.2382,0.2666
2WP1,prediction,0.5098,0.5107
2WP1,refmac,0.461,0.4762
2WP1,phenix,0.4686,0.5084
2WP1,torchref,0.45,0.4791
2X1C,prediction,0.3286,0.3272
2X1C,refmac,0.2206,0.2464
2X1C,phenix,0.2286,0.2497
2X1C,torchref,0.218,0.2525
2X26,prediction,0.5179,0.5355
2X26,refmac,0.4361,0.5018
2X26,phenix,0.4276,0.4776
2X26,torchref,0.4248,0.4894
2XD0,prediction,0.4697,0.469
2XD0,refmac,0.3871,0.4538
2XD0,phenix,0.3847,0.4742
2XD0,torchref,0.404,0.4671
2XDO,prediction,0.3507,0.341
2XDO,refmac,0.2626,0.3174
2XDO,phenix,0.2632,0.3001
2XDO,torchref,0.2505,0.3058
2XN4,prediction,0.4374,0.4229
2XN4,refmac,0.308,0.3501
2XN4,phenix,0.2947,0.334
2XN4,torchref,0.3193,0.3628
2XPI,prediction,0.4082,0.4192
2XPI,refmac,0.2522,0.3375
2XPI,phenix,0.2433,0.2961
2XPI,torchref,0.2388,0.301
2XPL,prediction,0.3931,0.417
2XPL,refmac,0.2546,0.3236
2XPL,phenix,0.2538,0.3249
2XPL,torchref,0.2475,0.3504
2XVS,prediction,0.4838,0.5009
2XVS,refmac,0.3654,0.4405
2XVS,phenix,0.3528,0.4497
2XVS,torchref,0.3455,0.4474
2Y9W,prediction,0.3854,0.3934
2Y9W,refmac,0.2744,0.3322
2Y9W,phenix,0.2761,0.3306
2Y9W,torchref,0.266,0.3362
2YEU,prediction,0.4446,0.4459
2YEU,refmac,0.3516,0.3883
2YEU,phenix,0.3562,0.3923
2YEU,torchref,0.3443,0.3853
2YFA,prediction,0.4797,0.477
2YFA,refmac,0.3747,0.4129
2YFA,phenix,0.3464,0.3726
2YFA,torchref,0.3332,0.3739
2YGB,prediction,0.4455,0.4404
2YGB,refmac,0.3664,0.3942
2YGB,phenix,0.2997,0.3286
2YGB,torchref,0.3035,0.3232
2YGK,prediction,0.4363,0.4362
2YGK,refmac,0.3042,0.3725
2YGK,phenix,0.3312,0.3969
2YGK,torchref,0.3119,0.3824
2YJT,prediction,0.3514,0.3703
2YJT,refmac,0.2205,0.2944
2YJT,phenix,0.2226,0.2722
2YJT,torchref,0.2341,0.3034
2YN0,prediction,0.3724,0.3635
2YN0,refmac,0.268,0.286
2YN0,phenix,0.2697,0.2876
2YN0,torchref,0.258,0.2888
2Z1D,prediction,0.3315,0.3304
2Z1D,refmac,0.2429,0.2818
2Z1D,phenix,0.2469,0.283
2Z1D,torchref,0.2367,0.2892
2Z1Z,prediction,0.3199,0.3324
2Z1Z,refmac,0.2058,0.2507
2Z1Z,phenix,0.2134,0.2571
2Z1Z,torchref,0.2044,0.2622
2Z7E,prediction,0.4483,0.4676
2Z7E,refmac,0.305,0.3611
2Z7E,phenix,0.3337,0.3855
2Z7E,torchref,0.2954,0.351
2ZIU,prediction,0.4997,0.5096
2ZIU,refmac,0.4668,0.5132
2ZIU,phenix,0.4661,0.519
2ZIU,torchref,0.4725,0.4943
2ZME,prediction,0.4313,0.442
2ZME,refmac,0.2754,0.3719
2ZME,phenix,0.3059,0.3803
2ZME,torchref,0.2925,0.3599
2ZON,prediction,0.3424,0.3516
2ZON,refmac,0.2417,0.2641
2ZON,phenix,0.245,0.2684
2ZON,torchref,0.2359,0.2716
2ZUL,prediction,0.4396,0.4019
2ZUL,refmac,0.2589,0.2889
2ZUL,phenix,0.2604,0.2864
2ZUL,torchref,0.2442,0.2825
3A58,prediction,0.4282,0.3968
3A58,refmac,0.3112,0.3642
3A58,phenix,0.3266,0.365
3A58,torchref,0.3171,0.3607
3ADO,prediction,0.4528,0.4367
3ADO,refmac,0.2346,0.2565
3ADO,phenix,0.2379,0.26
3ADO,torchref,0.2309,0.2692
3AJW,prediction,0.5088,0.5144
3AJW,refmac,0.3584,0.3905
3AJW,torchref,0.3309,0.369
3AMH,prediction,0.3169,0.3149
3AMH,refmac,0.2019,0.2521
3AMH,phenix,0.2092,0.2469
3AMH,torchref,0.1953,0.2557
3AQG,prediction,0.357,0.354
3AQG,refmac,0.2418,0.2931
3AQG,phenix,0.2376,0.2946
3AQG,torchref,0.2423,0.3076
3ATQ,prediction,0.3445,0.3495
3ATQ,refmac,0.2408,0.2827
3ATQ,phenix,0.2504,0.2921
3ATQ,torchref,0.2335,0.2825
3AV4,prediction,0.4637,0.4654
3AV4,refmac,0.2981,0.3521
3AV4,phenix,0.3011,0.3557
3AV4,torchref,0.3021,0.3557
3B23,prediction,0.5254,0.5094
3B23,refmac,0.4546,0.4943
3B23,torchref,0.4633,0.4792
3B2D,prediction,0.4436,0.4672
3B2D,refmac,0.2713,0.3533
3B2D,phenix,0.2392,0.3285
3B2D,torchref,0.2647,0.3344
3B8I,prediction,0.4023,0.4159
3B8I,refmac,0.2654,0.3052
3B8I,phenix,0.2737,0.3109
3B8I,torchref,0.2624,0.3143
3BCI,prediction,0.3463,0.3459
3BCI,refmac,0.2492,0.2989
3BCI,phenix,0.2561,0.2968
3BCI,torchref,0.2427,0.3157
3BGU,prediction,0.4529,0.4463
3BGU,refmac,0.3315,0.3659
3BGU,phenix,0.3357,0.3767
3BGU,torchref,0.3134,0.3659
3BJ6,prediction,0.5162,0.5084
3BJ6,refmac,0.337,0.3755
3BJ6,phenix,0.3267,0.3558
3BJ6,torchref,0.3226,0.3543
3BNK,prediction,0.3968,0.4088
3BNK,refmac,0.2493,0.2839
3BNK,phenix,0.254,0.2919
3BNK,torchref,0.2441,0.2911
3BSD,prediction,0.4169,0.4085
3BSD,refmac,0.3274,0.3953
3BSD,phenix,0.3401,0.3998
3BSD,torchref,0.3206,0.398
3BVQ,prediction,0.4466,0.4113
3BVQ,refmac,0.3126,0.3585
3BVQ,phenix,0.3048,0.3695
3BVQ,torchref,0.3064,0.3879
3C7J,prediction,0.5426,0.5468
3C7J,refmac,0.4944,0.5552
3C7J,phenix,0.5071,0.5673
3C7J,torchref,0.4843,0.5757
3CAX,prediction,0.3589,0.326
3CAX,refmac,0.2229,0.2483
3CAX,phenix,0.2376,0.2442
3CAX,torchref,0.2239,0.2425
3CB0,prediction,0.4254,0.4282
3CB0,refmac,0.2677,0.2944
3CB0,phenix,0.2696,0.2912
3CB0,torchref,0.2612,0.2927
3CB5,prediction,0.3744,0.3593
3CB5,refmac,0.2787,0.3247
3CB5,phenix,0.2835,0.318
3CB5,torchref,0.2747,0.3205
3CBM,prediction,0.3764,0.3989
3CBM,refmac,0.2754,0.3012
3CBM,phenix,0.286,0.3143
3CBM,torchref,0.2554,0.2895
3CGG,prediction,0.3648,0.395
3CGG,refmac,0.2818,0.3417
3CGG,phenix,0.287,0.3351
3CGG,torchref,0.2717,0.3468
3CMQ,prediction,0.3553,0.3372
3CMQ,refmac,0.2161,0.2508
3CMQ,phenix,0.2277,0.2586
3CMQ,torchref,0.214,0.2618
3CQO,prediction,0.3708,0.3955
3CQO,refmac,0.2313,0.2821
3CQO,phenix,0.232,0.2842
3CQO,torchref,0.2253,0.287
3CU3,prediction,0.4848,0.4596
3CU3,refmac,0.3527,0.3944
3CU3,phenix,0.3515,0.4022
3CU3,torchref,0.3343,0.3954
3CXM,prediction,0.3793,0.3785
3CXM,refmac,0.2557,0.2732
3CXM,phenix,0.2666,0.2706
3CXM,torchref,0.2489,0.2694
3D1M,prediction,0.3988,0.3971
3D1M,refmac,0.2792,0.3099
3D1M,phenix,0.2823,0.31
3D1M,torchref,0.2671,0.3024
3D49,prediction,0.4955,0.5005
3D49,refmac,0.3876,0.406
3D49,phenix,0.3858,0.3976
3D49,torchref,0.3494,0.3565
3DEE,prediction,0.4508,0.4811
3DEE,refmac,0.3481,0.4392
3DEE,phenix,0.3456,0.4471
3DEE,torchref,0.3362,0.4277
3DIW,prediction,0.4557,0.4425
3DIW,refmac,0.3545,0.3877
3DIW,phenix,0.4451,0.4824
3DIW,torchref,0.3252,0.3718
3DJD,prediction,0.3775,0.3777
3DJD,refmac,0.2652,0.2992
3DJD,phenix,0.2695,0.299
3DJD,torchref,0.2576,0.2987
3DJN,prediction,0.3883,0.3235
3DJN,refmac,0.2353,0.2333
3DJN,phenix,0.2478,0.2345
3DJN,torchref,0.235,0.2338
3DLA,prediction,0.334,0.34
3DLA,refmac,0.2212,0.2641
3DLA,phenix,0.2311,0.2673
3DLA,torchref,0.2223,0.2784
3DOH,prediction,0.3565,0.3597
3DOH,refmac,0.2205,0.2706
3DOH,torchref,0.223,0.2818
3DXI,prediction,0.3708,0.3569
3DXI,refmac,0.2983,0.3405
3DXI,phenix,0.2924,0.3455
3DXI,torchref,0.2921,0.3534
3E7P,prediction,0.4155,0.4416
3E7P,refmac,0.247,0.2903
3E7P,phenix,0.2612,0.2942
3E7P,torchref,0.2315,0.2886
3E8S,prediction,0.3832,0.3835
3E8S,refmac,0.2723,0.2922
3E8S,phenix,0.286,0.2982
3E8S,torchref,0.2724,0.3008
3E8V,prediction,0.4152,0.4046
3E8V,refmac,0.3039,0.3387
3E8V,phenix,0.2498,0.2499
3E8V,torchref,0.2557,0.2763
3E98,prediction,0.4797,0.4796
3E98,refmac,0.3527,0.3965
3E98,phenix,0.3485,0.3977
3E98,torchref,0.3308,0.3967
3E99,prediction,0.4294,0.3935
3E99,refmac,0.3086,0.323
3E99,phenix,0.3156,0.3366
3E99,torchref,0.3032,0.3266
3EC1,prediction,0.5113,0.5172
3EC1,refmac,0.386,0.4461
3EC1,phenix,0.3451,0.3776
3EC1,torchref,0.3184,0.3785
3ED4,prediction,0.4169,0.4128
3ED4,refmac,0.2975,0.3383
3ED4,phenix,0.3008,0.3344
3ED4,torchref,0.285,0.3353
3EFY,prediction,0.4701,0.4597
3EFY,refmac,0.286,0.3149
3EFY,phenix,0.2897,0.3138
3EFY,torchref,0.2758,0.3083
3ER7,prediction,0.4256,0.4403
3ER7,refmac,0.304,0.3288
3ER7,torchref,0.2888,0.3261
3EUS,prediction,0.3771,0.3636
3EUS,refmac,0.256,0.3011
3EUS,phenix,0.2713,0.3227
3EUS,torchref,0.2559,0.3106
3FBI,prediction,0.4398,0.4549
3FBI,refmac,0.2972,0.3393
3FBI,phenix,0.3334,0.3667
3FBI,torchref,0.2868,0.3303
3FJU,prediction,0.4072,0.393
3FJU,refmac,0.3045,0.3205
3FJU,phenix,0.3009,0.3127
3FJU,torchref,0.2935,0.3165
3FKK,prediction,0.3265,0.3056
3FKK,refmac,0.2397,0.2587
3FKK,phenix,0.2389,0.2558
3FKK,torchref,0.2299,0.2658
3FPR,prediction,0.4276,0.4256
3FPR,refmac,0.2695,0.2938
3FPR,phenix,0.3028,0.3156
3FPR,torchref,0.2613,0.2997
3FVE,prediction,0.485,0.5017
3FVE,refmac,0.244,0.2884
3FVE,phenix,0.26,0.3015
3FVE,torchref,0.2471,0.2861
3FVV,prediction,0.401,0.4046
3FVV,refmac,0.2435,0.289
3FVV,torchref,0.2343,0.2935
3G39,prediction,0.3795,0.3551
3G39,refmac,0.2332,0.2585
3G39,phenix,0.2389,0.2539
3G39,torchref,0.2243,0.2564
3G3O,prediction,0.3873,0.391
3G3O,refmac,0.2577,0.2849
3G3O,phenix,0.2662,0.2978
3G3O,torchref,0.2586,0.3083
3G6L,prediction,0.4033,0.3908
3G6L,refmac,0.2811,0.3146
3G6L,phenix,0.2776,0.3115
3G6L,torchref,0.2777,0.3378
3G85,prediction,0.454,0.4733
3G85,refmac,0.2898,0.3517
3G85,phenix,0.2946,0.3467
3G85,torchref,0.2812,0.3517
3GEB,prediction,0.3723,0.3741
3GEB,refmac,0.2713,0.3091
3GEB,torchref,0.2693,0.3126
3GF6,prediction,0.3795,0.3839
3GF6,refmac,0.2986,0.3432
3GF6,phenix,0.2986,0.339
3GF6,torchref,0.2899,0.3476
3GLR,prediction,0.4475,0.4564
3GLR,refmac,0.2939,0.3266
3GLR,phenix,0.3265,0.3417
3GLR,torchref,0.2877,0.3267
3GM5,prediction,0.4776,0.5211
3GM5,refmac,0.3044,0.3766
3GM5,phenix,0.3057,0.3635
3GM5,torchref,0.2949,0.3731
3GMV,prediction,0.3873,0.4102
3GMV,refmac,0.3081,0.3516
3GMV,phenix,0.2718,0.3162
3GMV,torchref,0.3096,0.3597
3GQU,prediction,0.4463,0.4314
3GQU,refmac,0.3438,0.3722
3GQU,phenix,0.355,0.3563
3GQU,torchref,0.345,0.384
3GR5,prediction,0.4711,0.462
3GR5,refmac,0.2938,0.336
3GR5,phenix,0.3004,0.3333
3GR5,torchref,0.2854,0.3311
3GXQ,prediction,0.4475,0.4551
3GXQ,refmac,0.3687,0.4057
3GXQ,phenix,0.3763,0.3982
3GXQ,torchref,0.3666,0.4207
3H1T,prediction,0.4149,0.4104
3H1T,refmac,0.2642,0.3124
3H1T,phenix,0.2682,0.3196
3H1T,torchref,0.261,0.323
3H6E,prediction,0.3797,0.3932
3H6E,refmac,0.2469,0.3106
3H6E,phenix,0.2525,0.3084
3H6E,torchref,0.2559,0.3222
3H6R,prediction,0.3706,0.3498
3H6R,refmac,0.2468,0.2804
3H6R,phenix,0.2495,0.2895
3H6R,torchref,0.2326,0.2934
3H7O,prediction,0.347,0.3238
3H7O,refmac,0.2481,0.2727
3H7O,phenix,0.2506,0.2726
3H7O,torchref,0.2362,0.2695
3HBC,prediction,0.381,0.3889
3HBC,refmac,0.2794,0.3174
3HBC,phenix,0.2964,0.3441
3HBC,torchref,0.2755,0.3483
3HHC,prediction,0.4472,0.4638
3HHC,refmac,0.3707,0.4408
3HHC,phenix,0.3433,0.4482
3HHC,torchref,0.3436,0.4368
3HL0,prediction,0.4649,0.4667
3HL0,refmac,0.3298,0.3632
3HL0,phenix,0.3366,0.3675
3HL0,torchref,0.314,0.3578
3HST,prediction,0.3544,0.3472
3HST,refmac,0.2617,0.3134
3HST,phenix,0.2546,0.3031
3HST,torchref,0.2488,0.3052
3HTK,prediction,0.5082,0.5077
3HTK,refmac,0.3954,0.453
3HTK,phenix,0.3925,0.4311
3HTK,torchref,0.366,0.3925
3HTV,prediction,0.4539,0.4885
3HTV,refmac,0.2917,0.3347
3HTV,phenix,0.3121,0.3561
3HTV,torchref,0.2931,0.3731
3I38,prediction,0.4455,0.4485
3I38,refmac,0.3235,0.3737
3I38,phenix,0.3357,0.378
3I38,torchref,0.3073,0.3609
3IC8,prediction,0.4686,0.4628
3IC8,refmac,0.2936,0.3666
3IC8,phenix,0.275,0.3429
3IC8,torchref,0.2705,0.3415
3IHU,prediction,0.4722,0.4652
3IHU,refmac,0.3554,0.4203
3IHU,phenix,0.3519,0.3994
3IHU,torchref,0.3208,0.4178
3IUG,prediction,0.4288,0.4229
3IUG,refmac,0.2674,0.3166
3IUG,phenix,0.2798,0.3196
3IUG,torchref,0.2578,0.3126
3IVB,prediction,0.5163,0.5299
3IVB,refmac,0.412,0.4739
3IVB,phenix,0.4422,0.5183
3IVB,torchref,0.3712,0.4748
3JST,prediction,0.4162,0.4209
3JST,refmac,0.2648,0.2891
3JST,phenix,0.2572,0.2976
3JST,torchref,0.2502,0.2875
3JWH,prediction,0.4223,0.4414
3JWH,refmac,0.2774,0.3367
3JWH,phenix,0.2959,0.3507
3JWH,torchref,0.2791,0.3491
3K7M,prediction,0.4686,0.4728
3K7M,refmac,0.284,0.3146
3K7M,phenix,0.2911,0.3211
3K7M,torchref,0.2786,0.3205
3KFW,prediction,0.439,0.4241
3KFW,refmac,0.3121,0.3824
3KFW,phenix,0.3295,0.4045
3KFW,torchref,0.3205,0.3889
3KGR,prediction,0.3984,0.404
3KGR,refmac,0.2732,0.3169
3KGR,phenix,0.27,0.3093
3KGR,torchref,0.253,0.3243
3KKD,prediction,0.4921,0.4826
3KKD,refmac,0.3467,0.4175
3KKD,phenix,0.3435,0.4147
3KKD,torchref,0.3188,0.4121
3KKE,prediction,0.3849,0.3665
3KKE,refmac,0.2397,0.2946
3KKE,phenix,0.249,0.3018
3KKE,torchref,0.2313,0.3042
3KOL,prediction,0.4596,0.4668
3KOL,refmac,0.3111,0.3326
3KOL,phenix,0.3223,0.366
3KOL,torchref,0.2954,0.3367
3KXR,prediction,0.4982,0.5343
3KXR,refmac,0.3678,0.4642
3KXR,phenix,0.3769,0.4865
3KXR,torchref,0.3516,0.459
3KZP,prediction,0.4933,0.4955
3KZP,refmac,0.3636,0.4257
3KZP,phenix,0.35,0.4086
3KZP,torchref,0.3311,0.3995
3L1W,prediction,0.3403,0.344
3L1W,refmac,0.257,0.2789
3L1W,phenix,0.2587,0.2794
3L2H,prediction,0.4198,0.4122
3L2H,refmac,0.3001,0.3233
3L2H,phenix,0.3003,0.3301
3L2H,torchref,0.2916,0.3278
3L6F,prediction,0.4772,0.4956
3L6F,refmac,0.3203,0.3489
3L6F,phenix,0.3189,0.336
3L6F,torchref,0.2949,0.3337
3LLI,prediction,0.4056,0.3391
3LLI,refmac,0.3047,0.3238
3LLI,phenix,0.3183,0.3283
3LLI,torchref,0.2973,0.3274
3LOC,prediction,0.4236,0.3983
3LOC,refmac,0.2775,0.321
3LOC,phenix,0.2938,0.3419
3LOC,torchref,0.2786,0.329
3LS0,prediction,0.3978,0.3661
3LS0,refmac,0.2343,0.2448
3LS0,phenix,0.2381,0.2333
3LS0,torchref,0.2295,0.2375
3LW3,prediction,0.3742,0.3656
3LW3,refmac,0.2655,0.2738
3LW3,phenix,0.2669,0.2709
3LW3,torchref,0.2525,0.2752
3M1G,prediction,0.4034,0.3949
3M1G,refmac,0.2592,0.2874
3M1G,phenix,0.2666,0.289
3M1G,torchref,0.2569,0.2901
3M1T,prediction,0.494,0.46
3M1T,refmac,0.3676,0.384
